service,use_case,run_id,valid,vus,iterations,http_reqs,checks_passes,checks_fails,application_ram_avg,application_ram_median,application_cpu_avg,application_cpu_median,application_energy,database_ram_avg,database_ram_median,database_cpu_avg,database_cpu_median,database_energy
go-pgx,orm-loop,1656058170,True,20,1220,819840,819840,0,37353683.16857611,37777408.0,0.07245033546597951,0.06426304575645757,36486503388.0,849346199.729364,935997440.0,0.7241851689533829,0.9391935230340557,75447444055.0
jvm-kotlin-spring,aggregation-code-side,1656155355,True,20,769,516768,516768,0,7827851913.634409,8109312000.0,0.31206805216137223,0.3631268001834008,116991873130.0,436866379.25369126,484655104.0,0.35542707920250277,0.4388251781230578,139280739753.0
jvm-kotlin-spring,aggregation-code-side,1656156202,True,20,760,510720,510720,0,7893618434.752688,8670900224.0,0.3147313649615735,0.3629614699333714,118601007763.0,432680915.65899867,481124352.0,0.3520098905558743,0.43256632557134034,138603938412.0
jvm-kotlin-spring,aggregation-code-side,1656157041,True,20,780,524160,524160,0,8418637205.628809,8243724288.0,0.32695133540051546,0.36240140644960006,119214236217.0,433785741.2780083,481853440.0,0.3781085767621773,0.4455610171535115,140121282491.0
jvm-kotlin-spring,aggregation-code-side,1656157860,True,20,778,522816,522816,0,8118005844.628099,8507373568.0,0.31977810100619186,0.3591306794361634,118614092473.0,432962173.53168046,479729664.0,0.37547481301319513,0.44502515389428293,141859764763.0
jvm-kotlin-spring,aggregation-code-side,1656158681,True,20,780,524160,524160,0,8856738824.557102,10673967104.0,0.31630268966410996,0.35588714518155196,116729207767.0,433320208.3102493,479803392.0,0.3788608109951203,0.44687416036444805,140999472419.0
jvm-kotlin-spring,aggregation-code-side,1656159501,True,20,760,510720,510720,0,8119654669.546811,8996225024.0,0.307844900822927,0.35996986713500306,116656395127.0,432862979.12618726,481071104.0,0.3560416849468394,0.4395790608369769,137326064706.0
jvm-kotlin-spring,aggregation-code-side,1656160339,True,20,770,517440,517440,0,8453563517.946524,8785383424.0,0.3125279485803342,0.3624435669199799,116879865117.0,438012390.5718121,483360768.0,0.3584786389655035,0.4402437805831266,138153293774.0
jvm-kotlin-spring,aggregation-code-side,1656161184,True,20,777,522144,522144,0,8076032417.553398,7341326336.0,0.3298498344736577,0.366724525224647,118672131628.0,433066198.39118457,481335296.0,0.37338864318990944,0.43977105462434257,143569744141.0
jvm-kotlin-spring,aggregation-code-side,1656162003,True,20,773,519456,519456,0,8561248927.744,9271373824.0,0.3127515499088582,0.3605178056204179,117984735587.0,438694182.912,484800512.0,0.36101212220109985,0.44306012489887503,142156671171.0
jvm-kotlin-spring,aggregation-code-side,1656162849,True,20,777,522144,522144,0,7960956746.459834,8709912576.0,0.32384349964168635,0.3596482396952244,117873471553.0,432936024.98206896,479789056.0,0.3752709011536486,0.44600827790988734,143487337807.0
jvm-kotlin-spring,default,1655965509,True,20,1064,715008,715008,0,707453841.937415,707272704.0,0.09578754043073663,0.09129551415327565,58024734338.0,656743839.9568151,719769600.0,0.43232467631272364,0.546749916883923,153114567161.0
jvm-kotlin-spring,default,1655966343,True,20,1060,712320,712320,0,948180510.4432433,953020416.0,0.09482511232488204,0.089881534774577,58062862375.0,658831432.1517615,725121024.0,0.4350468525391398,0.5478159721563042,153705446096.0
jvm-kotlin-spring,default,1655967179,True,20,1060,712320,712320,0,933871000.4808743,940802048.0,0.09491224484356982,0.08913797054339945,57722085878.0,664629715.4782609,728946688.0,0.43384580803754663,0.5465656084017221,150160484207.0
jvm-kotlin-spring,default,1655968010,True,20,1060,712320,712320,0,1005343348.0162822,1012822016.0,0.09509915814017471,0.08960407321652065,57880335719.0,656078942.3523035,715227136.0,0.4338624242170073,0.5465511757608795,150404037546.0
jvm-kotlin-spring,default,1655968842,True,20,1060,712320,712320,0,995578300.6132971,1006485504.0,0.09495740042768613,0.08959362753977969,57481541221.0,667663290.6233063,727496704.0,0.43439997486337356,0.5477379625856402,149839415689.0
